SMILES,Firefly_Luciferase_interference,Nano_Luciferase_interference,Redox_interference,Thiol_interference,AmpC_betalactamase_aggregation,Cysteine_protease_cruzain_aggregation
Cn1cc(CCn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)cn1,0.0028000000000000247,0.0019000000000000128,0.0006999999999999229,0.027900000000000036,0.11640000000000006,0.06120000000000003
CCn1cc(-c2cccc(C(F)(F)F)c2)c2sc(C(=N)NC3CCS(=O)(=O)CC3)cc2c1=O,0.0015000000000000568,0.005600000000000049,0.0036000000000000476,0.04290000000000005,0.14480000000000004,0.1997
COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,0.0037000000000000366,0.00010000000000010001,0.07810000000000006,0.0515000000000001,0.3127,0.06430000000000002
Cc1cc(=O)n(C)c2cc(N3C(=O)CC[C@H](NS(=O)(=O)CC(C)C)[C@H]3c3ccc(Cl)cc3)ccc12,0.00010000000000010001,0.00010000000000010001,0.0045999999999999375,0.034499999999999975,0.3377,0.35620000000000007
O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,0.0030999999999999917,0.0008000000000000229,0.0009999999999998899,0.07459999999999989,0.09040000000000004,0.09349999999999992
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,0.0004999999999999449,0.00010000000000010001,0.0026999999999999247,0.04749999999999999,0.2448999999999999,0.2623000000000001
O=C(O)c1ccc(O)c2ncccc12,0.008099999999999996,0.005199999999999982,0.4516,0.363,0.006099999999999994,0.07109999999999994
O=C(O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,0.0034000000000000696,0.04159999999999997,0.02540000000000009,0.11480000000000001,0.02639999999999998,0.13849999999999996
CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1,0.0006999999999999229,0.0045000000000000595,0.0015000000000000568,0.04379999999999995,0.37070000000000003,0.3053
CCN(C(=O)CO)[C@H]1CN(/C(=N\C#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1,0.0034000000000000696,0.0006000000000000449,0.00029999999999996696,0.023299999999999987,0.2876000000000001,0.28069999999999995
CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,0.0020999999999999908,0.0023999999999999577,0.00029999999999996696,0.018900000000000028,0.3665999999999999,0.034499999999999975
CC(=O)C1=C(C)C(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,0.0010999999999999899,0.0009000000000000119,0.008099999999999996,0.20799999999999996,0.0534,0.1620999999999999
COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2,0.0015000000000000568,0.010400000000000076,0.0036000000000000476,0.20319999999999994,0.03870000000000007,0.06129999999999991
COc1cc2c(cc1NS(=O)(=O)c1ccc(Br)cc1C)n(C)c(=O)n2C,0.0004999999999999449,0.007199999999999984,0.005900000000000016,0.040999999999999925,0.08810000000000007,0.11309999999999998
O=C(/C=C/N1C[C@H]2C[C@@H]1CN2c1ccccn1)c1ccccc1O,0.009199999999999986,0.005299999999999971,0.008499999999999952,0.28200000000000003,0.04720000000000002,0.03610000000000002
COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,0.06120000000000003,0.0021999999999999797,0.007499999999999951,0.054300000000000015,0.1704000000000001,0.10650000000000004
COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,0.0010999999999999899,0.0,0.13680000000000003,0.04290000000000005,0.2681,0.15300000000000002
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C,0.0009000000000000119,0.0009999999999998899,0.0673999999999999,0.006299999999999972,0.2562000000000001,0.15339999999999998
COc1c(C)cc(NC(=O)c2nn(Cc3ccc(F)cc3)c3c2CN(C(=O)c2ccc[nH]2)C[C@]3(C)C(N)=O)cc1C,0.0004999999999999449,0.0031999999999999806,0.0051000000000001044,0.0131,0.3554999999999999,0.2591
,0.021100000000000008,0.0004999999999999449,0.0018000000000000238,0.24069999999999991,0.005699999999999927,0.008499999999999952
